"","Hepatocytes_1","Hepatocytes_2","Endothelial","Kupffer","Stellate","Cholangiocyte","T_cell"
"AFP",0.0452366770104743,0.0275779124400502,0.0117998908487645,0.0126897783338018,0.0310727084146334,0.0372421973007808,0.0105289578329131
"ANKRD1",0.00984480654069711,0.0468143562275057,0.0202600506361549,0.0079686333160678,0.00479342198917167,0.0338012332354418,0.00992276822955684
"MRO",0.138389695895656,0.0749552078404671,3.12101074292677,0.0827545725978459,0.050218279232066,0.0149522009556994,0.0155880242665264
"RELN",0.799115985930329,0.996584545982462,21.4910106801898,0.363581314442739,6.07895324712874,0.428312805262996,0.393070423017702
"GREM1",0.0158018322237678,0.0494964051841212,0.0113864857852029,0.0376765769810279,0.188337724849133,0.0100613471369748,0.0955269850215714
"KCNIP4",0.0740655409750995,0.0583963877673389,0.480114758911386,0.0760411022174238,0.102875969388157,0.0600224982111668,0.17644762866042
"ROBO2",0.533440248132743,0.594040929064086,14.9819643617064,0.390447161201742,1.0536437199926,0.366731831392999,0.287560856708343
"CYP3A7",0.201538280788235,1.07345075326061,0.287688057406488,0.410277785773798,0.293925603143509,0.250757001099248,0.477510886847813
"SERPINE2",0.0432366280710014,0.0598183400808908,0.0409635709924195,0.0435521966761124,0.493955468378325,0.0279053356099271,0.0341409843914842
"IGHM",0.109167778953076,0.305554046663075,0.553932483307674,0.313991454773395,0.239196015313466,0.169330110527297,0.390529545258578
"MALAT1",121.222087311839,116.611596318232,106.10835194077,151.711691767552,169.812248017438,140.139613171747,167.9226172508
"PLCB1",1.41383438298732,1.50681852009743,25.7861502819654,1.03461619093753,6.28933755501304,1.02875041849976,10.1666846357676
"HDAC9",0.41293853382383,0.308297619057489,1.41369262447148,14.8274181053809,0.440128762226842,0.349351336835661,3.56552704228235
"NEAT1",47.6557283592604,39.5445761534072,35.7888690070418,24.1301004938466,29.3552242743722,19.4466714412063,10.3502497030246
