"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ADK",9.50806393286863e-18,0.366325598196259,0.811,0.998,1.90161278657373e-14
"IGLL5",2.18010999498421e-17,-0.28437062528803,0.008,0.286,4.36021998996843e-14
"AL358113.1",4.59546623730092e-17,0.295593428296855,0.292,0.781,9.19093247460185e-14
"MACROD2",5.11703695614523e-17,0.444814857005615,0.463,0.979,1.02340739122905e-13
"AC119674.2",1.36750972657483e-16,0.263030109564173,0.151,0.66,2.73501945314966e-13
"SPDYE2B",2.52000368272444e-16,-0.258200612040511,0.043,0.32,5.04000736544888e-13
"BICC1",1.65792893227587e-15,0.263883637311556,0.098,0.488,3.31585786455174e-12
"WDR72",2.51368735886234e-15,0.360171292023627,0.274,0.569,5.02737471772467e-12
"GUSBP3",7.28409346163667e-15,-0.318639063604025,0.176,0.497,1.45681869232733e-11
"F8",2.96438803738115e-14,0.267700507040199,0.061,0.476,5.92877607476229e-11
"AC138409.2",3.28913117299487e-14,-0.270723307840137,0.176,0.503,6.57826234598974e-11
"AC010737.1",3.67764335616649e-14,0.255169184435507,0.034,0.543,7.35528671233298e-11
"ZNF385D",4.59106304418586e-13,1.43045918030339,0.586,1,9.18212608837172e-10
"TACC1",5.14259942069192e-13,0.491388028627115,0.13,0.636,1.02851988413838e-09
"PRH1",5.78596702043299e-13,0.452112989844563,0.476,0.707,1.1571934040866e-09
"GOT1",6.3052233245278e-13,-0.272093996945676,0.111,0.497,1.26104466490556e-09
"PALM2-AKAP2",4.98050302560607e-12,0.527078081337443,0.437,0.681,9.96100605121214e-09
"SYNE2",8.96368361029996e-12,0.364894809415134,0.285,0.595,1.79273672205999e-08
"NTN4",1.08040883741595e-11,0.271933254143361,0.078,0.489,2.16081767483191e-08
"PCCA",1.90125022340831e-11,0.699257958035976,0.595,0.885,3.80250044681661e-08
"KALRN",2.87529114974644e-11,0.285531723489145,0.132,0.514,5.75058229949287e-08
"GREM2",4.14788147172406e-11,0.413720627352209,0.361,0.638,8.29576294344812e-08
"PHLDB2",7.24907563455458e-11,0.703988671172352,0.547,0.801,1.44981512691092e-07
"AC139272.1",7.52631997660898e-11,-0.348001454972955,0.181,0.63,1.5052639953218e-07
"LINC02532",7.56014835045023e-11,0.577887151935923,0.39,0.679,1.51202967009005e-07
"UGT1A10",1.95385054361613e-10,0.311149153246879,0.386,0.837,3.90770108723225e-07
"AC087482.1",4.66139428609586e-09,0.502140913224041,0.358,0.823,9.32278857219172e-06
"DTX2P1-UPK3BP1-PMS2P11",5.4993249475405e-09,0.253742468469941,0.121,0.513,1.0998649895081e-05
"APBA1",2.78990887018027e-08,0.676092116097331,0.213,0.567,5.57981774036055e-05
"HBA1",2.95903508126269e-08,-0.393772662536106,0.034,0.554,5.91807016252539e-05
"AC090912.1",6.97568997468666e-08,0.328405261049966,0.476,0.933,0.000139513799493733
"NBPF14",1.06734086720337e-07,0.276606079700448,0.283,0.588,0.000213468173440675
"GLIS3",1.42805779199355e-07,0.495288991416484,0.302,0.759,0.00028561155839871
"PLPP1",3.35655053288534e-07,0.273810076147268,0.152,0.631,0.000671310106577068
"FP236383.1",3.35695365310515e-07,-0.671766785948439,1,1,0.000671390730621031
"CYP3A4",3.59063514148602e-07,0.560407686364566,0.355,0.806,0.000718127028297205
