"sample","Gene","ID","TF","enhancer"
"Normal","MAGI2-AS3",69788,"RUNX1","Nor_E"
"Normal","MAGI2-AS3",69788,"RUNX1","HTN_E"
"Normal","MAGI2-AS3",69788,"RUNX2","Nor_E"
"Normal","MAGI2-AS3",69788,"RUNX2","HTN_E"
"Normal","MAGI2-AS3",69788,"WT1","Nor_E"
"Normal","MAGI2-AS3",69788,"WT1","HTN_E"
"Normal","MEPCE",70694,"HMGA2","Nor_E"
"Normal","MEPCE",70694,"HMGA2","HTN_E"
"Normal","MEPCE",70694,"WT1","Nor_E"
"Normal","MEPCE",70694,"WT1","HTN_E"
"Normal","PRKAG2-AS1",73586,"BCL11A","Nor_E"
"Normal","PRKAG2-AS1",73586,"BCL11A","HTN_E"
"Normal","PRKAG2-AS1",73586,"IRF4","Nor_E"
"Normal","PRKAG2-AS1",73586,"IRF4","HTN_E"
"Normal","PRKAG2-AS1",73586,"GLIS3","Nor_E"
"Normal","PRKAG2-AS1",73586,"GLIS3","HTN_E"
"Normal","PRKAG2-AS1",73586,"BCL11B","Nor_E"
"Normal","PRKAG2-AS1",73586,"BCL11B","HTN_E"
"Normal","PRKAG2-AS1",73586,"FOXP1","Nor_E"
"Normal","PRKAG2-AS1",73586,"FOXP1","HTN_E"
"Normal","PRKAG2-AS1",73586,"HES5","Nor_E"
"Normal","PRKAG2-AS1",73586,"HES5","HTN_E"
"Normal","PRKAG2-AS1",73586,"SMAD9","Nor_E"
"Normal","PRKAG2-AS1",73586,"SMAD9","HTN_E"
"Normal","PRKAG2-AS1",73587,"GLI2","Nor_E"
"Normal","PRKAG2-AS1",73587,"GLI2","HTN_E"
"Normal","PRKAG2-AS1",73587,"RUNX1","Nor_E"
"Normal","PRKAG2-AS1",73587,"RUNX1","HTN_E"
"Normal","PRKAG2-AS1",73587,"RUNX2","Nor_E"
"Normal","PRKAG2-AS1",73587,"RUNX2","HTN_E"
"Normal","PRKAG2-AS1",73587,"WT1","Nor_E"
"Normal","PRKAG2-AS1",73587,"WT1","HTN_E"
"Normal","RNF139",79736,"TCF4","Nor_E"
"Normal","RNF139",79736,"TCF4","HTN_E"
"Normal","RNF139",79737,"EBF1","Nor_E"
"Normal","RNF139",79737,"EBF1","HTN_E"
"Normal","RNF139",79737,"HMGA2","Nor_E"
"Normal","RNF139",79737,"HMGA2","HTN_E"
"Normal","RNF139",79737,"GLI2","Nor_E"
"Normal","RNF139",79737,"GLI2","HTN_E"
"Normal","RNF139",79737,"RORA","Nor_E"
"Normal","RNF139",79737,"RORA","HTN_E"
"Normal","RNF139",79737,"HAND2","Nor_E"
"Normal","RNF139",79737,"HAND2","HTN_E"
"Normal","GPT",81318,"EBF1","Nor_E"
"Normal","GPT",81318,"EBF1","HTN_E"
"Normal","GPT",81318,"LEF1","Nor_E"
"Normal","GPT",81318,"LEF1","HTN_E"
"Normal","GPT",81318,"MEF2C","Nor_E"
"Normal","GPT",81318,"MEF2C","HTN_E"
"Normal","GPT",81318,"WT1","Nor_E"
"Normal","GPT",81318,"WT1","HTN_E"
"Normal","GPT",81318,"TCF7L1","Nor_E"
"Normal","GPT",81318,"TCF7L1","HTN_E"
"Normal","GPT",81319,"GLI2","Nor_E"
"Normal","GPT",81319,"GLI2","HTN_E"
"Normal","GPT",81319,"RUNX2","Nor_E"
"Normal","GPT",81319,"RUNX2","HTN_E"
"Normal","RFX3",81532,"TCF4","Nor_E"
"Normal","RFX3",81532,"TCF4","HTN_E"
"Normal","RFX3",81532,"RUNX2","Nor_E"
"Normal","RFX3",81532,"RUNX2","HTN_E"
"Normal","RFX3",81531,"EHF","Nor_E"
